센터ID,시도,소방서명,119안전센터명,시군구,주소,전화번호,위도,경도,좌표_출처,좌표_정밀도,최근접업체명,최근접업체_거리km,반경5km_업체수,반경10km_업체수,최근접_연락가능업체_거리km,반경10km_연락가능업체수
C997,경상북도,칠곡소방서,기산119안전센터,칠곡군,경상북도 칠곡군 기산면 칠곡대로 1216,054-970-2801,35.99581,128.388162,소방청좌표(주소일치),정확,대진실업,0.48,9,20,0.48,6
C998,경상북도,칠곡소방서,동명119안전센터,칠곡군,경상북도 칠곡군 동명면 한티로 216,054-970-2851,36.018803,128.632468,OSM지오코딩(도로중심),근사(도로중심),팔공방역소독공사,6.45,0,8,6.69,3
C999,경상북도,칠곡소방서,북삼119안전센터,칠곡군,경상북도 칠곡군 북삼읍 안산2길 46,054-970-2811,36.066833,128.337337,소방청좌표(주소일치),정확,일광방역Zone,0.87,20,95,0.87,48
C1000,경상북도,칠곡소방서,석적119안전센터,칠곡군,경상북도 칠곡군 석적읍 유학로 140,054-970-2841,36.073551,128.423787,소방청좌표(주소일치),정확,세기위생방역,0.63,29,83,0.63,40
C1001,경상북도,칠곡소방서,왜관119안전센터,칠곡군,경상북도 칠곡군 왜관읍 공단로 194,054-970-2821,35.967782,128.417082,소방청좌표(주소일치),정확,클린마스터,1.08,7,12,3.93,4
C1002,경상북도,칠곡소방서,지천119안전센터,칠곡군,경상북도 칠곡군 지천면 신동로 85,054-970-2871,35.957429,128.48199,OSM지오코딩(시설명),정확,클린마스터,5.42,0,46,5.71,22
C1003,경상북도,포항남부소방서,구룡포119안전센터,포항시,경상북도 포항시 남구 구룡포읍 호미로 265,054-288-0951,35.991026,129.559389,소방청좌표(주소일치),정확,(주)우봉,1.09,1,3,1.09,1
C1004,경상북도,포항남부소방서,연일119안전센터,포항시,경상북도 포항시 남구 연일읍 철강로 10,054-288-0991,35.991618,129.3441,소방청좌표(주소일치),정확,(주)산동,0.78,61,91,0.78,35
C1005,경상북도,포항남부소방서,오천119안전센터,포항시,경상북도 포항시 남구 오천읍 해병로 369,054-288-0941,35.962742,129.409598,소방청좌표(주소일치),정확,K-2 방역대,0.92,8,77,0.94,34
C1006,경상북도,포항남부소방서,울릉119안전센터,울릉군,경상북도 울릉군 울릉읍 울릉순환로 415,054-288-0961,37.484199,130.898164,소방청좌표(주소일치),정확,주식회사 울릉클린 365,0.73,2,2,0.73,2
C1007,경상북도,포항남부소방서,일월119안전센터,포항시,경상북도 포항시 남구 동해안로 5890,054-288-0901,35.993357,129.418941,소방청좌표(주소일치),정확,(주)해암산업,0.71,9,98,1.0,38
C1008,경상북도,포항남부소방서,제철119안전센터,포항시,경상북도 포항시 남구 철강로 360,054-288-0921,35.97844,129.378294,소방청좌표(주소일치),정확,포항해운(주),2.48,41,89,2.48,35
C1009,경상북도,포항남부소방서,해도119안전센터,포항시,경상북도 포항시 남구 중앙로 118,054-288-0918,36.0236,129.368612,소방청좌표(주소일치),정확,(주)신미소환경,0.24,82,112,0.3,43
C1010,경상북도,포항남부소방서,효자119안전센터,포항시,경상북도 포항시 남구 지곡로212번길 45,054-288-0931,36.029455,129.325532,소방청좌표(주소일치),정확,페스트 제로,1.3,75,113,1.74,42
C1011,경상북도,포항북부소방서,기계119안전센터,포항시,경상북도 포항시 북구 기계면 기계로 371,054-260-2462,36.081138,129.18975,OSM지오코딩(도로중심),근사(도로중심),해성에이치씨,3.56,2,3,13.99,0
C1012,경상북도,포항북부소방서,덕산119안전센터,포항시,경상북도 포항시 북구 중앙로 332,054-260-2403,36.042489,129.366125,소방청좌표(주소일치),정확,현대환경,0.17,87,112,0.46,43
C1013,경상북도,포항북부소방서,두호119안전센터,포항시,경상북도 포항시 북구 삼호로 505,054-260-2412,36.06453,129.382955,OSM지오코딩(시설명),정확,한국안전기술협회 경북지부,0.03,63,110,0.03,42
C1014,경상북도,포항북부소방서,장량119안전센터,포항시,경상북도 포항시 북구 법원로 158,054-260-2432,36.088746,129.387693,소방청좌표(주소일치),정확,(주)한결,0.42,32,101,0.52,36
C1015,경상북도,포항북부소방서,청하119안전센터,포항시,경상북도 포항시 북구 청하면 청하로 267,054-260-2472,36.202777,129.342533,OSM지오코딩(시설명),정확,에코클린 방역,0.45,2,3,10.39,0
C1016,경상북도,포항북부소방서,흥해119안전센터,포항시,경상북도 포항시 북구 흥해읍 중성로 67,054-260-2422,36.109206,129.350399,소방청좌표(주소일치),정확,(주)삼양인터내셔날 포항지점,0.33,15,74,0.33,20
